name,Sorting,Installed_By,Notes,RHEL9_LD,RHEL8_LD,OpenSUSE_15.6_LD,OpenSUSE_15.5_LD,Legacy-OS_OpenSUSE_15.4_LD,Ubuntu_24.04_LD,Ubuntu_22.04_LD,Legacy-OS_Ubuntu_20.04_LD,Linux_RT,Windows_11,Windows_10,Windows_Server_2025,Windows_Server_2022,Windows_Server_2019_64-bit,Legacy-OS_Windows_Server_2016_64-bit,Linux_Download,Linux_RT_Download,Windows_Download,Legacy-OS_RHEL7_LD,Legacy-OS_CENTOS7_LD,Legacy-OS_OpenSUSE_15.3_LD,Legacy-OS_OpenSUSE_15.2_LD,Legacy-OS_OpenSUSE_15.1_LD,Legacy-OS_Ubuntu_18.04_LD,Legacy-OS_Windows_8,Legacy-OS_Windows_7,Legacy-OS_MacOS 11,Legacy-OS_MacOS 10.15
PXIe-1083 (PXI PS),1083,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,2.5.3 to 20.5,Not Supported,Not Supported
PXIe-1084 (PXI PS),1084,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,17.5,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,17.5.1 to 20.5,17.5.1 to 20.5,Not Supported,Not Supported
PXIe-1085 (PXI PS),1085,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2 to 20.5,3.0.4 to 20.5,Not Supported,Not Supported
PXIe-1085 24 GBps (PXI PS),1085,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,14.1 to 20.5,14.1 to 20.5,Not Supported,Not Supported
PXIe-1086 (PXI PS),1086,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,15,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,3.2.3 to 20.5,3.2.3 to 20.5,Not Supported,Not Supported
PXIe-1088 (PXI PS),1088,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,18.5,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,18.5 to 20.5,18.5 to 20.5,Not Supported,Not Supported
PXIe-1090 (PXI PS),1090,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,20,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,20,2022 Q3,20,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",20.0 to 2022 Q3,20.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 20.5,20.0 to 20.5,Not Supported,Not Supported
PXIe-1092 (PXI PS),1092,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,18.1,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",19.1 to 2022 Q3,19.1 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,18.1 to 20.5,18.1 to 20.5,Not Supported,Not Supported
PXIe-1095 (PXI PS),1095,NI-PXI Platform Services,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.pxi-platform-services.html"" target=""_blank"">Release Notes</a>)</li></ul>",2022 Q4,19.1,2024 Q4,2023 Q4,2022 Q4 to 2024 Q3,2024 Q4,2022 Q4,21 to 2024 Q3,19,2022 Q3,17.3,**NOT Reviewed**,2022 Q3,20.7,20 to 2024 Q3,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.pxi-platform-services.html"" target=""_blank"">latest version</a>",18.0 to 2022 Q3,18.0 to 2022 Q3,2022 Q4 to 2023 Q3,21.0 to 2022 Q3,20.0 to 2022 Q3,20.0 to 2022 Q3,17.3 to 20.5,17.3 to 20.5,Not Supported,Not Supported
,1099.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 --- 14xx ---,1399.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCIe-1427 (VAS),1427,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
PCIe-1433 (VAS),1433,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
PXIe-1435 (VAS),1435,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
PCIe-1437 (VAS),1437,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
CVS-1458RT (EtherCAT),1458,NI-Industrial Communications for EtherCAT,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-industrial-communications-for-EtherCAT.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,19,21.5,20,**NOT Reviewed**,21.5,21.5,21.5,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-industrial-communications-for-ethercat.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,20.0 to 20.0,20.0 to 20.0,Not Supported,Not Supported
CVS-1458RT (EtherNet/IP),1458,NI-Industrial Communications for Ethernet/IP,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-industrial-communications-for-ethernet-ip.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,21.3,2022 Q3,16,**NOT Reviewed**,2022 Q3,21,21,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-industrial-communications-for-ethernet-ip.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
CVS-1458RT (VAS),1458,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,20.6,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
CVS-1458RT (VBAI),1458,NI-Vision Builder for Automated Inspection,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-builder-for-automated-inspection.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015,**NOT Reviewed**,2022 Q3,Not Supported,Not Supported,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.vision-builder-for-automated-inspection.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
CVS-1459RT (EtherNet/IP),1459,NI-Industrial Communications for Ethernet/IP,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.ni-industrial-communications-for-ethernet-ip.html"" target=""_blank"">Release Notes</a>)</li><li>Table may exclude software versions older than 21.3; support may have been available earlier.</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,21.3,2022 Q3,16,**NOT Reviewed**,2022 Q3,21,21,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-industrial-communications-for-ethernet-ip.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
CVS-1459RT (VAS),1459,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,20.6,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
CVS-1459RT (VBAI),1459,NI-Vision Builder for Automated Inspection,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-builder-for-automated-inspection.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015,**NOT Reviewed**,2022 Q3,Not Supported,Not Supported,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.vision-builder-for-automated-inspection.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Check readmes older than 21.3/2021 SP1,Check readmes older than 21.3/2021 SP1,Not Supported,Not Supported
PCIe-1473 (VAS),1473,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
PCIe-1477 (VAS),1477,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
NI-1483 FlexRIO Adapter Module (VAS),1483,NI-Vision Acquisition Software,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.vision-acquisition-software.html"" target=""_blank"">Release Notes</a>)</li></ul>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,20.6,2022 Q3,2015.08,**NOT Reviewed**,2022 Q3,21,20,Not Supported,"<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.vision-acquisition-software.html"" target=""_blank"">latest version</a>",Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,Not Supported,2013.02 to 20.6,2010.03 to 20.6,Not Supported,Not Supported
PXIe-1486 (FlexRIO),1486,NI-FlexRIO,"<ul><li>Known Issues, Readmes, etc. (<a href=""https://www.ni.com/en-us/support/documentation/release-notes/product.flexrio.html"" target=""_blank"">Release Notes</a>)</li><li>**Select NI drivers are incompatible with default IOMMU settings on Linux Kernel 6.8 and later, resulting in generic hardware or internal errors while using NI hardware.  Consult the <a href=""https://www.ni.com/r/iommu-linux"" target=""_blank"">NI Platform on Linux Desktop User Manual</a> for more information.</li></ul>",2023 Q1,20.6,2024 Q4,2023 Q4,2023 Q1 to 2024 Q4,2024 Q4**,2023 Q1**,21 to 2024 Q4,20.6,2022 Q3,20.6,2025 Q2,2022 Q3,20.7,20.7 to 2024 Q4,"<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.ni-linux-device-drivers.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/software-products/download.ni-linux-rt-system-image.html"" target=""_blank"">latest version</a>","<a href=""https://www.ni.com/en-us/support/downloads/drivers/download.flexrio.html"" target=""_blank"">latest version</a>",20.6 to 2022 Q3,20.6 to 2022 Q3,2023 Q1 to 2023 Q3,21.0 to 2022 Q3,20.6 to 2022 Q3,21.0 to 2022 Q3,20.6,20.6,Not Supported,Not Supported
